"","year","management","n","bm_av","bm_se","den_av","den_se","l_av","l_se"
"1","2015","Control",7,1950.98523809524,286.129924649539,25.547619047619,0.970949928766842,13.9888071511643,0.651267867950221
"2","2015","FPA",4,2607.91875,394.203721115589,37.75,5.19682060922296,13.7160404465245,0.424468512088801
"3","2017","Control",7,2972.98064058957,436.222244062695,30.1020408163265,3.23661394975994,15.1370519604156,0.659138344276824
"4","2017","FPA",4,5131.43831845238,1149.08332913358,38.2708333333333,7.2973299597703,16.3266623916751,0.73270887353688
"5","2019","Control",7,2222.07588924964,420.306361556337,29.9415584415584,2.83413031655736,12.6076551852441,0.745140490755118
"6","2019","FPA",4,3257.24619212963,313.470586002365,36.5445601851852,4.48807466828189,14.9136736130533,0.616041869776895
